"","YEAR","MSTI_VAR","MSTI.Variables","Unit","PowerCode","Germany","United Kingdom","France","Italy","Russia","Spain","Israel","United States","China (People's Republic of)","Japan","Korea","Mexico","Canada","European Union (28 countries)","Finland"
"1",2011,"AFA_NC","R&D expenditure of foreign affiliates in national currency (for euro area: pre-EMU euro or EUR)","National currency","Millions",13238.604,8873,7919.793841,2622,NA,1330.7,20206.4,45177,NA,NA,NA,NA,6168,NA,562.2
"2",2011,"AFA_PPP","R&D expenditure of foreign affiliates (current PPP $)","US Dollar","Millions",16784.514540007,12567.0624262134,9413.07123397887,3455.97063946533,NA,1863.38874661994,5122.33520662942,45177,NA,NA,NA,NA,4974.58001708981,NA,626.010829468458
"3",2011,"AFA_XB","R&D expenditure of foreign affiliates as a percentage of R&D expenditures of enterprises","Percentage","Units",26.1258549620598,50.8423103369241,27.4510896797932,24.2261849764391,NA,35.1850872554204,65.6256921804798,15.361467290959,NA,NA,NA,NA,36.5100035515568,NA,14.8236038601487
"4",2011,"ALF","Labour Force","Persons","Thousands",41186,31867.819,28937.94688,24659.542,75779,23434.0816,3502.12774217895,155050.978666667,785790,65910,25098.9,49482.112,18685.7,240206.691535003,2703
"5",2011,"B_AERO","BERD performed in the aerospace industry (current PPP $)","US Dollar","Millions",2920.73742411316,1588.40984007645,3159.45651072786,1242.80500226997,NA,675.551586699183,NA,26054,NA,238.017505590073,91.2126167338774,NA,1060.5662649924,NA,5.28774919587355
"6",2011,"B_COMP","BERD performed in the computer, electronic and optical industry (current PPP $)","US Dollar","Millions",8321.3821284995,1384.45886640636,3795.570928679,1902.76095161409,NA,291.423525673752,1559.38379870042,62704,30292.5800185626,29244.753787209,21873.9132907031,29.9244907128578,1980.79904701242,NA,2794.59807590001
"7",2011,"B_DRUG","BERD performed in the pharmaceutical industry (current PPP $)","US Dollar","Millions",5159.75391540275,748.670032513963,997.687327664925,762.369724586859,NA,889.984824045054,283.210908071026,45949,6026.07417462479,11446.1237385802,1010.08240246721,584.18502293415,417.774391837309,NA,130.074993632269
"8",2011,"B_FBCT","Business-financed BERD at constant prices and PPP $","US Dollar","Millions",57340.2706233101,16705.1664972321,27842.3032029279,11075.4817586433,7309.21407253023,7929.26839069605,3356.68798877918,241505.16335339,170999.108113924,109839.634328122,41910.233005164,2891.02960233144,11519.930428453,164912.039490674,5034.0975355947
"9",2011,"B_FBGRO","Business-financed BERD, compound annual growth rate (constant prices)","Growth rate","Units",6.90529894331085,5.92866952074778,5.70900788002102,0.25351809024508,13.639267819235,0.64623176228424,10.8247205696989,5.36874491858197,17.6350289159208,3.99138726927233,15.4551712368165,-3.1243633406328,5.32709974281298,6.38284657422692,1.57324381745634
"10",2011,"B_FBXVA","Business-financed BERD as a percentage of value added in industry","Percentage","Units",2.72751452344737,1.21793141521936,2.01379842231891,0.86519490334365,0.32258143228212,0.84480399626101,2.46393503560303,2.53629796784462,1.58232456032887,3.42623833386696,3.88417183014817,0.21433887248229,1.2752712880951,1.55242027454255,4.06726452222281
"11",2011,"B_GRO","BERD, compound annual growth rate (constant prices)","Growth rate","Units",7.68655078839447,6.30451396942427,4.09806546404334,0.84545736349939,1.35816734005483,-1.4949287489848,8.06989766480986,3.2609757585824,17.3193748411215,3.91933438501908,14.5852548488368,-1.5236479064557,3.54671265707072,6.15758334882026,1.35593838135311
"12",2011,"B_NC","BERD in national currency (for euro area: pre-EMU euro or EUR)","National currency","Millions",51077.2,17408.2,28850.6,10825.3,372088.9,7396.369,31477.5,294092,657933.36,12271778,38183291.34,26167.54748,16894,NA,5047.4279
"13",2011,"B_PPP","Business Enterprise Expenditure on R&D (BERD) at current PPP $","US Dollar","Millions",64758.03687933,24655.6898600257,34290.3815926527,14268.4664238764,21451.52119301,10357.1885176588,7979.56620014834,294092,187684.097007194,114204.64453844,44680.4695202427,3410.33530443975,13625.25207664,204972.197898728,5620.32110701038
