"","YEAR","MSTI_VAR","MSTI.Variables","Unit","PowerCode","src","Argentina","Australia","Austria","Belgium","Canada","Chile","China (People's Republic of)","Chinese Taipei","Czech Republic","Denmark","Estonia","European Union (15 countries)","European Union (28 countries)","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Israel","Italy","Japan","Korea","Latvia","Lithuania","Luxembourg","Mexico","Netherlands","New Zealand","Norway","OECD - Total","Poland","Portugal","Romania","Russia","Singapore","Slovak Republic","Slovenia","South Africa","Spain","Sweden","Switzerland","Turkey","United Kingdom","United States"
"1",2011,"AFA_NC","R&D expenditure of foreign affiliates in national currency (for euro area: pre-EMU euro or EUR)","National currency","Millions","AF",NA,5588.034,2849,3704.83071870828,6168,NA,NA,NA,NA,NA,NA,NA,NA,562.2,7919.793841,13238.604,NA,73279.4348171206,NA,1220.357,20206.4,2622,NA,NA,NA,NA,NA,NA,1339.5,NA,6104,NA,809.28584,NA,NA,NA,NA,NA,134,NA,1330.7,32205,NA,NA,8873,45177
"2",2011,"AFA_PPP","R&D expenditure of foreign affiliates (current PPP $)","US Dollar","Millions","AF",NA,3698.10900834774,3426.85735036905,4453.39700127057,4974.58001708981,NA,NA,NA,NA,NA,NA,NA,NA,626.010829468458,9413.07123397887,16784.514540007,NA,589.67049313668,NA,1467.63438155649,5122.33520662942,3455.97063946533,NA,NA,NA,NA,NA,NA,1602.14816025327,NA,672.044218659925,NA,449.247939490328,NA,NA,NA,NA,NA,214.753792613679,NA,1863.38874661994,3641.43472351264,NA,NA,12567.0624262134,45177
"3",2011,"AFA_XB","R&D expenditure of foreign affiliates as a percentage of R&D expenditures of enterprises","Percentage","Units","AF",NA,30.5001680555584,50.0439135780784,66,36.5100035515568,NA,NA,NA,NA,NA,NA,NA,NA,14.8236038601487,27.4510896797932,26.1258549620598,NA,62.6313276026743,NA,65.6247042374704,65.6256921804798,24.2261849764391,NA,NA,NA,NA,NA,NA,32.5097687061622,NA,33.6828164661737,NA,44.7992700729927,NA,NA,NA,NA,NA,29.1431056981296,NA,35.1850872554204,38.4817598489646,NA,NA,50.8423103369241,15.361467290959
"4",2011,"ALF","Labour Force","Persons","Thousands","AL",18830.069,11876.1015004417,4246.34476,4855.971356,18685.7,8060.947634,785790,11200,5257.625873,2951.1,690.3,191582.182328669,240206.691535003,2703,28937.94688,41186,4939.81999,4225,180.0966805,2178.7,3502.12774217895,24659.542,65910,25098.9,1028.08333333333,1481.6,385.1,49482.112,8792.25674266915,2350,2629,599581.59368279,17221,5428.2,9187.6,75779,3237.1,2680,1019.4,18706.36163,23434.0816,5016.3,4845.437924,26725,31867.819,155050.978666667
"5",2011,"B_AERO","BERD performed in the aerospace industry (current PPP $)","US Dollar","Millions","B_",NA,23.5597494033106,44.6862679619378,142.866214567437,1060.5662649924,NA,NA,NA,37.7068193289564,NA,0,NA,NA,5.28774919587355,3159.45651072786,2920.73742411316,NA,NA,NA,NA,NA,1242.80500226997,238.017505590073,91.2126167338774,NA,NA,NA,NA,35.6836575846864,NA,1.90325757957068,NA,74.4966370344525,NA,4.32113663491845,NA,63.3266734006734,NA,2.16612855296007,NA,675.551586699183,NA,NA,NA,1588.40984007645,26054
"6",2011,"B_COMP","BERD performed in the computer, electronic and optical industry (current PPP $)","US Dollar","Millions","B_",NA,237.913761530623,630.090691918103,511.442825052,1980.79904701242,NA,30292.5800185626,14473.1778418254,86.1106591668965,325.681706053106,5.72517815683274,NA,NA,2794.59807590001,3795.570928679,8321.3821284995,32.3402883450681,112.997997658247,NA,183.764906204937,1559.38379870042,1902.76095161409,29244.753787209,21873.9132907031,2.5688848343954,11.471072206297,NA,29.9244907128578,697.12897216427,NA,183.590061372121,NA,73.9970321661141,42.4999832165109,13.7777156812814,NA,1644.21997755331,5.49775464184729,61.0541827120203,NA,291.423525673752,2149.13056326051,1429.74820181134,153.720421345168,1384.45886640636,62704
"7",2011,"B_DRUG","BERD performed in the pharmaceutical industry (current PPP $)","US Dollar","Millions","B_",NA,267.231090142046,204.844036673412,1716.43445605753,417.774391837309,NA,6026.07417462479,327.25804217399,80.661926398792,892.212781681119,6.22947858853737,NA,NA,130.074993632269,997.687327664925,5159.75391540275,84.5719594313666,380.750889175046,NA,152.962259202519,283.210908071026,762.369724586859,11446.1237385802,1010.08240246721,NA,6.66490537912166,NA,584.18502293415,384.487530273943,NA,79.3263203709823,NA,92.8709938588964,140.366301579223,24.8933572652094,NA,131.762065095398,25.2988339477844,263.361230139469,NA,889.984824045054,876.522340526937,3497.30939969347,201.026580111578,748.670032513963,45949
"8",2011,"B_FBCT","Business-financed BERD at constant prices and PPP $","US Dollar","Millions","B_",NA,11597.9259907541,4299.4047505827,5483.67763361079,11519.930428453,362.67576075162,170999.108113924,19149.7917858703,1673.35630596123,4269.41305936746,384.059817900333,158105.156291725,164912.039490674,5034.0975355947,27842.3032029279,57340.2706233101,525.962354792234,1128.77642733411,143.245955527396,1539.02453552745,3356.68798877918,11075.4817586433,109839.634328122,41910.233005164,55.1916032747075,116.469434334333,286.833078035082,2891.02960233144,6650.79257802462,596.556969281969,1993.68085580701,602074.250560112,1546.55158451524,1794.86538031071,468.02311942899,7309.21407253023,4418.27483550342,267.562342087873,814.029833407929,1653.47229127731,7929.26839069605,7328.41632221412,NA,4365.77334132168,16705.1664972321,241505.16335339
"9",2011,"B_FBGRO","Business-financed BERD, compound annual growth rate (constant prices)","Growth rate","Units","B_",NA,-0.499433967502,2.8867711304452,12.19451844296,5.32709974281298,59.7204381758658,17.6350289159208,9.21126680698468,10.0964731001002,2.1444346027659,102.861707407215,5.9267153397039,6.38284657422692,1.57324381745634,5.70900788002102,6.90529894331085,NA,8.68412825543723,NA,-4.9645720874737,10.8247205696989,0.25351809024508,3.99138726927233,15.4551712368165,-19.608914558902,9.18101987530575,2.51927651258159,-3.1243633406328,NA,2.62427104280798,6.64051179196028,5.93955475917332,27.046339947655,-6.0381767154326,NA,13.639267819235,17.6277127061157,6.0635407599281,NA,0.44996947311808,0.64623176228424,-0.4113782876346,NA,15.7518560394057,5.92866952074778,5.36874491858197
"10",2011,"B_FBXVA","Business-financed BERD as a percentage of value added in industry","Percentage","Units","B_",NA,1.74516161708547,1.81680331037548,1.98550320034418,1.2752712880951,0.15472990370643,1.58232456032887,2.80271367252016,0.82494585507618,3.09756405617742,1.87399710354815,1.74424944008596,1.55242027454255,4.06726452222281,2.01379842231891,2.72751452344737,0.35058151728433,0.81646273587592,1.81801514503342,1.09116481398537,2.46393503560303,0.86519490334365,3.42623833386696,3.88417183014817,0.21629138960659,0.24799410586089,0.94171967083817,0.21433887248229,1.35496669194144,0.66311452737622,1.02963792181845,2.07920824093411,0.26306708320172,1.07223575945901,0.19269113531675,0.32258143228212,1.42646730720525,0.26922810929174,2.19311649585286,0.38309466707325,0.84480399626101,2.93901814028186,NA,0.45894400300659,1.21793141521936,2.53629796784462
