"","YEAR","MSTI.Variables","Unit","PowerCode","Australia","Canada","China (People's Republic of)","France","Germany","Italy","Japan","Korea","Mexico","OECD - Total","Russia","United Kingdom","United States"
"1",2011,"Basic research expenditure as a percentage of GDP","Percentage","Units",0,0,0.08416386572998,0.53333050036218,0,0.29060811087689,0.39780752673183,0.67632174092675,0.15463912058485,0,0.17737142345116,0.27260411080018,0.48094969034103
"2",2011,"BERD as a percentage of GDP","Percentage","Units",1.22186149928841,0.95450587907596,1.34464041123187,1.40162429574095,1.88956465121785,0.66110200115068,2.49726612380535,2.86514862446452,0.17842835929402,1.55350190560168,0.61724157198923,1.05854138467395,1.89216952498626
"3",2011,"BERD as a percentage of value added in industry","Percentage","Units",1.80182864763276,1.48285726072535,1.70162809069439,2.41854655500507,2.98577994039804,1.07788914827211,3.48638871835112,4.14271007289714,0.23876306514209,2.40789085707347,0.8954472298437,1.77315706540173,3.02536987207203
"4",2011,"BERD at constant prices and PPP $","US Dollar","Millions",11974.5214991408,13395.1204252382,183892.036530017,33438.2556608163,62769.7591826875,13798.210730774,111767.957927543,44699.8619062987,3220.46617711027,697177.542575026,20289.4985222144,24320.6502707252,288074.37234202
"5",2011,"BERD performed in service industries (current PPP $)","US Dollar","Millions",5511.98867430432,6128.70193739713,12049.5923920487,16241.2297252574,8804.55833735027,3609.6572056597,12264.1553603691,3955.30752482634,1357.59987549916,0,0,15195.6222320073,88838
"6",2011,"BERD performed in the aerospace industry (current PPP $)","US Dollar","Millions",23.5597494033106,1060.5662649924,0,3159.45651072786,2920.73742411316,1242.80500226997,238.017505590073,91.2126167338774,0,0,0,1588.40984007645,26054
"7",2011,"BERD performed in the computer, electronic and optical industry (current PPP $)","US Dollar","Millions",237.913761530623,1980.79904701242,30292.5800185626,3795.570928679,8321.3821284995,1902.76095161409,29244.753787209,21873.9132907031,29.9244907128578,0,0,1384.45886640636,62704
"8",2011,"BERD performed in the pharmaceutical industry (current PPP $)","US Dollar","Millions",267.231090142046,417.774391837309,6026.07417462479,997.687327664925,5159.75391540275,762.369724586859,11446.1237385802,1010.08240246721,584.18502293415,0,0,748.670032513963,45949
"9",2011,"BERD, compound annual growth rate (constant prices)","Growth rate","Units",-0.1251087729697,3.54671265707072,17.3193748411215,4.09806546404334,7.68655078839447,0.84545736349939,3.91933438501908,14.5852548488368,-1.5236479064557,4.92205552282628,1.35816734005483,6.30451396942427,3.2609757585824
"10",2011,"Business Enterprise Expenditure on R&D (BERD) at current PPP $","US Dollar","Millions",12124.8662006426,13625.25207664,187684.097007194,34290.3815926527,64758.03687933,14268.4664238764,114204.64453844,44680.4695202427,3410.33530443975,712453.397421485,21451.52119301,24655.6898600257,294092
"11",2011,"Business-financed BERD as a percentage of value added in industry","Percentage","Units",1.74516161708547,1.2752712880951,1.58232456032887,2.01379842231891,2.72751452344737,0.86519490334365,3.42623833386696,3.88417183014817,0.21433887248229,2.07920824093411,0.32258143228212,1.21793141521936,2.53629796784462
"12",2011,"Business-financed BERD at constant prices and PPP $","US Dollar","Millions",11597.9259907541,11519.930428453,170999.108113924,27842.3032029279,57340.2706233101,11075.4817586433,109839.634328122,41910.233005164,2891.02960233144,602074.250560112,7309.21407253023,16705.1664972321,241505.16335339
"13",2011,"Business-financed BERD, compound annual growth rate (constant prices)","Growth rate","Units",-0.499433967502,5.32709974281298,17.6350289159208,5.70900788002102,6.90529894331085,0.25351809024508,3.99138726927233,15.4551712368165,-3.1243633406328,5.93955475917332,13.639267819235,5.92866952074778,5.36874491858197
"14",2011,"Business-financed GERD as a percentage of GDP","Percentage","Units",0,0.88037827677055,1.312208548283,1.20636207599318,1.83351120449703,0.54549632849697,2.48300446573472,2.75949860409205,0.16532180399652,1.38032150527115,0.28027617761112,0.76346298613721,1.61410118344558
"15",2011,"Civil Budget R&D as a percentage of Total GBARD","Percentage","Units",93.2056056679491,97.0082351714792,0,93.2019242895989,96.0522289096034,99.2719453358657,97.3581590038079,86.1980753159231,100,80.3822735945051,0,85.5240625274436,54.9970895877798
"16",2011,"Civil GBARD for Economic Development programmes (current PPP$)","US Dollar","Millions",1292.01062803724,2067.09607389773,0,3213.83929022388,7117.76622995795,2596.72301937858,8957.53048045374,8050.17211687029,2001.16605436205,54526.2590639872,0,1011.54017635542,6526
"17",2011,"Civil GBARD for Education and Social programmes (current PPP$)","US Dollar","Millions",195.285616362454,432.291648696521,0,1005.51332822833,1101.04460059233,1810.3644825727,221.926941500096,303.667147140879,171.027693816382,9254.92797604731,0,481.40927743378,1158
"18",2011,"Civil GBARD for General University Funds (GUF) (current PPP$)","US Dollar","Millions",1174.42372717292,2171.13641472208,0,4545.84731261807,11898.1351561284,4005.9998339157,12357.5997525191,0,1607.59479213839,61168.9087318442,0,3197.63967538172,0
"19",2011,"Civil GBARD for Health and Environment programmes (current PPP$)","US Dollar","Millions",1333.15310663389,1847.72419246964,0,1817.58324493601,2730.74216781065,2275.37838097216,2321.20113766002,2316.91055746011,731.919921454627,60356.5874206356,0,3554.12898144257,35435
"20",2011,"Civil GBARD for Non-oriented Research programmes (current PPP$)","US Dollar","Millions",379.187441847004,711.345586101364,0,3327.18298705584,4874.25864686933,295.378726279245,7116.25438045715,4037.71232334002,888.5345322095,45375.7467620569,0,2369.51374270878,10581
"21",2011,"Civil GBARD for Space programmes (current PPP$)","US Dollar","Millions",31.9307401393353,275.827880325019,0,2582.7192225061,1390.42873395233,1003.57591338249,2229.72037131851,310.578109976354,0,18298.462695931,0,420.223985332753,8658
